product_id, brand, desc, size, original_price, new_price
2983813,Chrome Hearts,RARE QUEEN BABY ROSARY,os,$1299,$946
8320430,Chrome Hearts,×OFF-WHITE Denim pants,28,$14630,$10000
7005195,Chrome Hearts,BS FLEUR STUD EARRING,os,$150,-
7385489,Chrome Hearts, Zip Up Hoodie Sweatshirt Raglan Fleur de Lis Dagger,m,$450,-
6070143,Chrome Hearts,White Tee,m,$95,$81
3299091,Chrome Hearts,L&T  Charm,os,$220,-
4675234,Chrome Hearts,AUTHENTIC Double Cross Charm,os,$450,$294
6377346,Chrome Hearts, Yellow and Black Horseshoe Hoodie,xl,$450,-
6664519,Chrome Hearts,Big Cross Bracelet .925,os,$687,-
2708445,Chrome Hearts,Bracelet,os,$656,-
5987100,Chrome Hearts, Nail Ring,os,$400,$340
7450175,Chrome Hearts,Zip Hoodie,l,$300,-
