product_id, brand, desc, size, original_price, new_price, price_change
8238362,Kaws  Uniqlo,Kaws X Sesame Street Graphic Tee,l,$50,$32,36.0%
4086684,JWAnderson  Uniqlo,J W Anderson Short Sleeve Graphic T Shirt,m,$60,-,
8413247,Takashi Murakami  Uniqlo,Takashi Murakami Doraemon Tee,xl,$40,$25,37.5%
7830688,Kaws  Uniqlo,Kaws X  X sesame street XX hoodie,l,$75,$67,10.67%
7312024,Kaws  Uniqlo,KAWS Vintage Smoke Tee Big Logo Single Stitch  Nice Design,l,$45,$36,20.0%
7756871,Kaws  Uniqlo,Black  Kaws Shirt,xl,$50,$45,10.0%
5808408,Kaws  Uniqlo,KAWS x SESAME STREET x  GRAPHIC TSHIRT ELMO BERT ERNIE BIG BIRD COOKIE MONSTER GROUCHY OSCAR BFF COMPANION TEE SHIRT WHITE BLACK,l,$40,-,
7275664,JWAnderson  Uniqlo, JW Anderson Jeans 31x34,31,$50,$45,10.0%
7516788,Japanese Brand  Uniqlo,LAST DROP BEFORE DELETE Rare  Fleece Camouflage Sweater Nice Colour Mastermind Neighborhood Undercover Wtaps Number Nine,xl,$130,$98,24.62%
5686939,Takashi Murakami  Uniqlo,DORAEMON x TAKASHI MURAKAMI x  SZ xL T SHIRT GRAPHIC POCKET TEE WHITE XLARGE,xl,$70,$50,28.57%
6464284,Disney  Undercover  Uniqlo,Undercover X  X Disney Mickey Mouse White Tshirt,l,$79,$71,10.13%
1185353,Lemaire  Uniqlo,Boat Neck Sweater,m,$50,$36,28.0%
5411948,JWAnderson  Uniqlo,Multi Color Striped Tee,l,$75,$54,28.0%
4767775,Undercover  Uniqlo,Mint  x UNDERCOVER Hi Joe three quarter sleeve t shirt,m,$85,$68,20.0%
2206549,Kaws  Uniqlo,Kaws x Peanuts 2017  collab,l,$40,-,
6203765,Jun Takahashi  Undercover  Uniqlo,Bondage Pants,31,$163,$131,19.63%
4334146,One Piece  Uniqlo, X One Piece Pirates,l,$24,-,
7830659,Kaws  Uniqlo,Kaws X  X sesame street XX hoodie,l,$75,$67,10.67%
7811043,Kaws  Uniqlo,Kaws X  X sesame street XX hoodie,xl,$75,$67,10.67%
