product_id, brand, desc, size, original_price, new_price, price_change
5856720,Balenciaga,Vintage Rare  Flannel Shirt not gucci supreme bape off white thom browne visvim burberry palace vetements cdg,m,$250,$84,66.4%
188344,Balenciaga,mrporter green triple s white sneakers,10,$2131,-,
8091007,Balenciaga,Cropped Paris Hoodie,l,$425,-,
3079664,Balenciaga,Logo Sweatshirt,xs,$950,$855,10.0%
1768365,Balenciaga,logo embroidered cap blue,os,$585,$526,10.09%
7298027,Balenciaga,Denim Jacket  2017 Collar Destroy Authentic,l,$800,$648,19.0%
3364805,Balenciaga,BLACK SPEED TRAINER,11,$775,-,
410419,Balenciaga, Teal Casual Pants (Pre-Demna),34,$175,-,
4963167,Balenciaga, runners,10.5,$700,$630,10.0%
8505648,Balenciaga,Paris Thrashed Piece,l,$335,-,
2813403,Balenciaga,Black  Cap,os,$330,$267,19.09%
7294307,Balenciaga,New Black Camera Everyday Bag XS,os,$850,$765,10.0%
6076414,Balenciaga,FINAL DROP  Triple S,9,$900,$531,41.0%
8049850,Balenciaga,“Sinners” Logo Embroidered Oversized Hoodie BRAND NEW WITH TAGS!,xl,$650,-,
3572536,Balenciaga,Leather Combat Boots,7.5,$630,$540,14.29%
7441136,Balenciaga,“Sinners” Embroidered Oversized Hoodie,l,$840,$756,10.0%
5789966,Balenciaga,Oversized Button-Down Collar Dragon Printed Cotton-Poplin Shirt,m,$769,-,
3080676,Balenciaga  Colette, F/W 2017-2018 RARE Campaign Mug in Blue,os,$142,-,
5120518,Balenciaga,Rare Grey Puffer Jacket,m,$2500,-,
1831730,Balenciaga, Arena,10,$300,-,
8511428,Balenciaga,BNWT  Logo Beanie Hat,os,$225,-,
5040668,Balenciaga, Paris Hoodie,m,$600,-,
4271871,Balenciaga, Triple S White / Crema - Size 41EU/42EU/43EU - rare,8.5,$1250,-,
4086158,Balenciaga,White Logo On Hoodie,m,$800,-,
1976848,Balenciaga, Arena Gris Fume,10,$250,$225,10.0%
7506170,Balenciaga, Black & Rose Gold Leather Giant Stud "Triple Tour" Wrap Bracelet SZ M,os,$220,$198,10.0%
1584747,Balenciaga,Triple S Speed Runner Trainer Arena Black Italy,10,$1699,-,
738246,Balenciaga,Triple S Speed Runner Trainer Arena Black Italy,9,$1699,-,
6641473,Balenciaga, Fanny Pack,os,$550,$400,27.27%
6542685,Balenciaga, “Paris” S/S Shirt,xl,$300,$270,10.0%
6813652,Balenciaga,Burgundy iPhone Pocket Hoodie,m,$620,$451,27.26%
7341782,Balenciaga,Campaign Tee,l,$300,$270,10.0%
3972082,Balenciaga, Blue Track Jacket Rare,m,$620,$378,39.03%
5970765,Balenciaga,Swing Puffer Jacket,s,$2200,$1980,10.0%
8040111,Balenciaga,FW16 Blue Swing Parka In A Rare Size 40/Large,m,$2850,$2308,19.02%
8110367,Balenciaga,Copyright Logo Sweatpants,36,$350,$283,19.14%
6148470,Balenciaga, Speed Trainer Socks,12,$885,$644,27.23%
7380226,Balenciaga,Gold Double Bridge Sunglasses,os,$250,$181,27.6%
6086237,Balenciaga, Explorer Bag,os,$650,$526,19.08%
2892039,Balenciaga,Race Runner,10,$450,-,
8295355,Balenciaga,Logo Sweater,s,$699,-,
7576373,Balenciaga, Triangle Duffle XS glittered leather tote $1,800,os,$1650,$1485,10.0%
6911884,Balenciaga, copyright logo print sweatshirt,xl,$235,-,
295193,Balenciaga,Grey Distressed Rip Jeans,29,$176,-,
1228696,Balenciaga,Black Buckle Boot,9.5,$950,$855,10.0%
7929025,Balenciaga, Triple S Black/Red Made In Italy,11,$740,$671,9.32%
3851487,Balenciaga,Nicholas Ghesquiere Ripstop Runway Vest,s,$299,$242,19.06%
3433321,Balenciaga  Colette,One of One  x Colette,l,$375,-,
8135311,Balenciaga, Speed Trainer,10,$565,-,
5707735,Balenciaga,Beige Boxy Harrington Jacket,m,$800,$720,10.0%
7159924,Balenciaga, Triple S Grey MADE IN ITALY Size 43,10,$1000,$729,27.1%
6468250,Balenciaga,B A L E N C I A G A - Oversized Quilted Puffer Coat Red,m,$2000,-,
2993054,Balenciaga  Colette, Slippers,os,$300,-,
8272089,Balenciaga,Triple S Black (All Black),10,$675,-,
3746497,Balenciaga, triple S,11,$1200,-,
8008711,Balenciaga,Last Price Drop !  Paris Longsleeve,s,$200,$145,27.5%
