product_id, brand, desc, size, original_price, new_price, price_change
6942897,Acronym  Nike,Nike x  air force 1 hi downtown,11.5,$220,-,
6557124,Acronym  Nike, Presto,12,$350,-,
5364325,Acronym  Nike, x Nike Air VaporMax Moc 2,11.5,$500,$309,38.2%
4832951,Acronym,s-j8,m,$1650,$1485,10.0%
4954689,Acronym  Nike, x Nike Air VaporMax Moc 2,8.5,$500,-,
8245268,Acronym  Hypebeast,Black Roborace Hoodie,l,$250,$195,22.0%
8242763,Acronym  Errolson Hugh  Hypebeast,Hypebeast Magazine Issue 9: The Exploration Issue Bape Supreme Virgil BRAND NEW SEALED - One Size,os,$40,-,
6156922,Acronym  Nike, AF1 Downtown Hi Sp,8.5,$254,-,
8550682,Acronym  Nike,Lunar Force 1 Multi,11,$375,-,
7490130,Acronym  Nike,Air Force 1 High Top Nike X ,7,$120,$87,27.5%
8241085,Acronym,OG XPAC 3A-8TS + modulars,os,$4000,$2361,40.97%
8376642,Acronym,3A-8TS + pouch + laptop sleeve,os,$2250,-,
8242325,Acronym,Nike Af1 downtown,10,$320,-,
6749158,Acronym  Nike,Nike X  Presto Mid Pink Blue Yellow Black Shoes,11,$375,$303,19.2%
6548676,Acronym  Nike, X Nike Air Presto Mid  Racer Pink,11,$400,$270,32.5%
7901047,Acronym  Nike,NIKE X  LUNARFORCE,10.5,$280,-,
7580360,Acronym, X Nike Vapormax,9,$250,-,
6572540,Acronym  Nike,Air Presto Mid / ,10,$360,$261,27.5%
7425410,Acronym,Hypefest Exclusive Roborace Logo Hat DS,os,$180,-,
7068515,Acronym  Nike,Air Presto x ,12,$230,$215,6.52%
6937382,Acronym  Nike,Air Presto Mid  Racer Pink Size 10 Black Photo Blue White AH7832-600 NEW,10,$278,-,
4945339,Acronym  Nike, Vapormax Moc 2 Light Bone,12.5,$400,$261,34.75%
4952081,Acronym  Nike,Vapormax Moc 2,11,$360,-,
8479175,Acronym  Nike,Nike x  Air Force One,9,$975,-,
7255329,Acronym  Nike,Air Presto Mid - White/Dynamic Yellow,10,$270,$218,19.26%
7441400,Acronym  Nike,Nike Presto  Hyper Pink,9,$349,$314,10.03%
7271890,Acronym  Nike,Nike  Presto Racer Pink,10,$300,-,
6985848,Acronym  Nike,Nike X  Presto Mid,11,$315,$295,6.35%
6836728,Acronym  Nike,Nike Air Force 1 X ,9,$500,$327,34.6%
6826761,Acronym  Nike,Air Presto Mid  Racer Pink Size 6 Black Photo Blue White AH7832-600 NEW,6,$255,-,
6895963,Acronym, SnapBack Hat match Jacket well,os,$280,-,
5786390,Acronym, SP9-CH SS12 DUST brand new,32,$850,$765,10.0%
6564615,Acronym  Nike,Nike  Presto Dynamic Yellow,9,$330,-,
6558148,Acronym  Nike  Nike ACG,Nike Presto Mid Acronyum,10,$320,$288,10.0%
3975059,Acronym  Nike,Lunar Force 1,11,$550,-,
1945037,Acronym  Nike,Downtown Air Force 1 DAF1-003,8.5,$400,$350,12.5%
8554593,Acronym  Nike,Nike  Presto Volt,11.5,$650,$453,30.31%
8494578,Acronym  Nike,Nike  Presto,10,$200,$180,10.0%
8355215,Acronym  Nike,Nike  air vapormax fk moc 2 volt size 8.5,8.5,$250,-,
8105834,Acronym  Errolson Hugh, x Roborace Black/Pink T-Shirt *Hypefest exclusive*,l,$200,$162,19.0%
8564872,Acronym,J57TS-SS Jacket XL,xl,$1200,-,
8507843,Acronym  Nike,Downtown Af1 High ,11.5,$150,$121,19.33%
8545021,Acronym,NTS-NG1 (White),os,$999,-,
6155512,Acronym  Nike,Nike Air Vaoprmax FK  Sail DS,10,$345,-,
6155483,Acronym  Nike,Nike Air Vapormax FK  Sail DS,9.5,$345,-,
8403060,Acronym,3a-MP2TS,os,$300,-,
7404121,Acronym  Nike,Presto Mid,8,$250,$225,10.0%
8064379,Acronym,Polartec Power Stretch Neck Gaiter,os,$300,-,
7800680,Acronym  Nike,Presto Mid Volt XS,8.5,$1000,$900,10.0%
7244218,Acronym  Nike,Downtown AF1-006,9.5,$400,$324,19.0%
6978576,Acronym,J72-DS-WHT,m,$1570,$1500,4.46%
6929202,Acronym  Nike,Nike Presto  Dynamic Yellow Volt Blk/wht,12,$250,$225,10.0%
6838231,Acronym  Nike,Air Presto Mid Racer Pink,9,$300,-,
6175637,Acronym  Nike,FINAL DROP NIKE AIR VAPORMAX MOC 2  Women Size 6 / Men size 4.5 LIGHT BONE VOLT,6,$340,$275,19.12%
6546304,Acronym  Nike,Nike presto X ,9,$350,$315,10.0%
6433624,Acronym  Nike,Air Presto  Bamboo,14,$700,-,
5973664,Acronym,Air Vapormax FK Moc 2 ,9,$320,-,
5239205,Acronym  Nike,AIR VAPORMAX FK MOC 2/ (BLACK/VOLT),9,$400,-,
1762134,Acronym  Nike,AF1 Downtown,10,$400,$360,10.0%
8456892,Acronym,P27H-DS,32,$1200,$1080,10.0%
8545941,Acronym  Nike,Nike  Presto Mid Pacer Pink,10,$250,$202,19.2%
8027937,Acronym  Nike,Nike Lunar Force 1 /  ‘ 17 (AF100),11.5,$800,$524,34.5%
8318985,Acronym  Nike,Presto,13,$450,$350,22.22%
7930559,Acronym,CH-J3B,s,$800,$630,21.25%
7049701,Acronym  Nike, x Nike Lunar Force 1,13,$400,$360,10.0%
7700863,Acronym  Nike,Air Presto  (Cool Grey),12,$250,-,
6682549,Acronym  Nike,Presto Racer Pink,9,$325,$292,10.15%
6598217,Acronym  Nike, Nike Air Presto Mid Dynamic Yellow White Black (AH7832-100),11,$349,$259,25.79%
6731061,Acronym  Nike,Nike Air Presto x ,10.5,$350,$283,19.14%
6951020,Acronym  Errolson Hugh, x Roborace Black Remix Hoodie *Hypefest Exclusive* *Item has sold sold sold sold sold *,l,$999,-,
6609972,Acronym, X NIKE,10,$245,-,
6587319,Acronym  Nike,Presto,11,$260,$234,10.0%
6207385,Acronym  Nike,Vaparmax Volt,8,$300,-,
2850696,Acronym,T-14,s,$550,-,
